Nr;Sample;Tijd;Replica;Category;n;total_count;percentage
1;CBS109810;0;1;1Blastoconidia;56;69;81.15942029
6;CBS109810;0;2;1Blastoconidia;123;126;97.61904762
11;CBS109810;0;3;1Blastoconidia;71;76;93.42105263
16;CBS109810;3;1;1Blastoconidia;42;61;68.85245902
21;CBS109810;3;2;1Blastoconidia;116;124;93.5483871
26;CBS109810;3;3;1Blastoconidia;72;79;91.13924051
31;CBS109810;6;1;1Blastoconidia;27;53;50.94339623
36;CBS109810;6;2;1Blastoconidia;96;119;80.67226891
41;CBS109810;6;3;1Blastoconidia;58;73;79.45205479
46;CBS109810;9;1;1Blastoconidia;16;56;28.57142857
51;CBS109810;9;2;1Blastoconidia;31;121;25.61983471
56;CBS109810;9;3;1Blastoconidia;31;75;41.33333333
61;CBS109810;12;1;1Blastoconidia;8;53;15.09433962
66;CBS109810;12;2;1Blastoconidia;11;115;9.565217391
71;CBS109810;12;3;1Blastoconidia;20;81;24.69135802
76;CBS109810;15;1;1Blastoconidia;11;56;19.64285714
81;CBS109810;15;2;1Blastoconidia;15;118;12.71186441
86;CBS109810;15;3;1Blastoconidia;13;74;17.56756757
2;CBS109810;0;1;2Swollen cells;9;69;13.04347826
7;CBS109810;0;2;2Swollen cells;3;126;2.380952381
12;CBS109810;0;3;2Swollen cells;2;76;2.631578947
17;CBS109810;3;1;2Swollen cells;12;61;19.67213115
22;CBS109810;3;2;2Swollen cells;8;124;6.451612903
27;CBS109810;3;3;2Swollen cells;5;79;6.329113924
32;CBS109810;6;1;2Swollen cells;22;53;41.50943396
37;CBS109810;6;2;2Swollen cells;21;119;17.64705882
42;CBS109810;6;3;2Swollen cells;12;73;16.43835616
47;CBS109810;9;1;2Swollen cells;38;56;67.85714286
52;CBS109810;9;2;2Swollen cells;87;121;71.90082645
57;CBS109810;9;3;2Swollen cells;41;75;54.66666667
62;CBS109810;12;1;2Swollen cells;40;53;75.47169811
67;CBS109810;12;2;2Swollen cells;98;115;85.2173913
72;CBS109810;12;3;2Swollen cells;56;81;69.13580247
77;CBS109810;15;1;2Swollen cells;21;56;37.5
82;CBS109810;15;2;2Swollen cells;54;118;45.76271186
87;CBS109810;15;3;2Swollen cells;38;74;51.35135135
3;CBS109810;0;1;3Chlamydospores;0;0;0
8;CBS109810;0;2;3Chlamydospores;0;0;0
13;CBS109810;0;3;3Chlamydospores;0;0;0
18;CBS109810;3;1;3Chlamydospores;0;0;0
23;CBS109810;3;2;3Chlamydospores;0;0;0
28;CBS109810;3;3;3Chlamydospores;0;0;0
33;CBS109810;6;1;3Chlamydospores;0;0;0
38;CBS109810;6;2;3Chlamydospores;0;0;0
43;CBS109810;6;3;3Chlamydospores;0;0;0
48;CBS109810;9;1;3Chlamydospores;0;0;0
53;CBS109810;9;2;3Chlamydospores;0;0;0
58;CBS109810;9;3;3Chlamydospores;0;0;0
63;CBS109810;12;1;3Chlamydospores;0;0;0
68;CBS109810;12;2;3Chlamydospores;0;0;0
73;CBS109810;12;3;3Chlamydospores;0;0;0
78;CBS109810;15;1;3Chlamydospores;1;56;1.785714286
83;CBS109810;15;2;3Chlamydospores;2;118;1.694915254
88;CBS109810;15;3;3Chlamydospores;1;74;1.351351351
4;CBS109810;0;1;4Hyphae;2;69;2.898550725
9;CBS109810;0;2;4Hyphae;0;0;0
14;CBS109810;0;3;4Hyphae;0;0;0
19;CBS109810;3;1;4Hyphae;3;61;4.918032787
24;CBS109810;3;2;4Hyphae;0;0;0
29;CBS109810;3;3;4Hyphae;1;79;1.265822785
34;CBS109810;6;1;4Hyphae;2;53;3.773584906
39;CBS109810;6;2;4Hyphae;1;119;0.840336134
44;CBS109810;6;3;4Hyphae;1;73;1.369863014
49;CBS109810;9;1;4Hyphae;2;56;3.571428571
54;CBS109810;9;2;4Hyphae;3;121;2.479338843
59;CBS109810;9;3;4Hyphae;3;75;4
64;CBS109810;12;1;4Hyphae;4;53;7.547169811
69;CBS109810;12;2;4Hyphae;6;115;5.217391304
74;CBS109810;12;3;4Hyphae;2;81;2.469135802
79;CBS109810;15;1;4Hyphae;9;56;16.07142857
84;CBS109810;15;2;4Hyphae;30;118;25.42372881
89;CBS109810;15;3;4Hyphae;16;74;21.62162162
5;CBS109810;0;1;5Unidentified;2;69;2.898550725
10;CBS109810;0;2;5Unidentified;0;0;0
15;CBS109810;0;3;5Unidentified;3;76;3.947368421
20;CBS109810;3;1;5Unidentified;4;61;6.557377049
25;CBS109810;3;2;5Unidentified;0;0;0
30;CBS109810;3;3;5Unidentified;1;79;1.265822785
35;CBS109810;6;1;5Unidentified;2;53;3.773584906
40;CBS109810;6;2;5Unidentified;1;119;0.840336134
45;CBS109810;6;3;5Unidentified;2;73;2.739726027
50;CBS109810;9;1;5Unidentified;0;0;0
55;CBS109810;9;2;5Unidentified;0;0;0
60;CBS109810;9;3;5Unidentified;0;0;0
65;CBS109810;12;1;5Unidentified;1;53;1.886792453
70;CBS109810;12;2;5Unidentified;0;0;0
75;CBS109810;12;3;5Unidentified;3;81;3.703703704
80;CBS109810;15;1;5Unidentified;14;56;25
85;CBS109810;15;2;5Unidentified;17;118;14.40677966
90;CBS109810;15;3;5Unidentified;6;74;8.108108108
